ts,model,epochs,imgsz,train_size,val_size,map50,map50_95,run_dir
1761137141,yolov8n.pt,50,1024,1,1,0.23518750000000002,0.07055625,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train7
1761138729,yolov8n.pt,50,1024,2,1,0.08352364147680277,0.05012782904837099,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train10
1761143871,yolov8n.pt,50,1024,3,1,0.15907221481401027,0.04034028684749237,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train12
1761149756,yolov8n.pt,50,1024,4,1,0.15265072362278242,0.07282846952950416,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train14
1761150381,yolov8n.pt,50,1024,5,1,0.2475131027253669,0.11353426362683439,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train16
1761160707,yolov8n.pt,50,1024,6,1,0.18732142857142853,0.11361615386706264,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train18
1761161402,yolov8n.pt,50,1024,7,1,0.2421510256410256,0.1384304188034188,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train20
1761162888,yolov8n.pt,50,1024,6,1,0.2459065653208445,0.07563229511798404,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train22
1761165712,yolov8n.pt,50,1024,8,1,0.07742227951786773,0.05438212007885036,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train23
1761228393,yolov8n.pt,50,1024,6,1,0.12572079067619185,0.05177848263976794,/Users/aeshef/Desktop/CAREER & STUDIES/ВШЭ/study_kb/runs/detect/train25
